county,city,office,district,candidate,party,votes
Androscoggin,AUBURN,President,,Gary Johnson,LBT,201
Androscoggin,DURHAM,President,,Gary Johnson,LBT,44
Androscoggin,GREENE,President,,Gary Johnson,LBT,31
Androscoggin,LEEDS,President,,Gary Johnson,LBT,20
Androscoggin,LEWISTON,President,,Gary Johnson,LBT,234
Androscoggin,LISBON,President,,Gary Johnson,LBT,84
Androscoggin,LIVERMORE,President,,Gary Johnson,LBT,19
Androscoggin,LIVERMORE FALLS,President,,Gary Johnson,LBT,24
Androscoggin,MECHANIC FALLS,President,,Gary Johnson,LBT,24
Androscoggin,MINOT,President,,Gary Johnson,LBT,21
Androscoggin,POLAND,President,,Gary Johnson,LBT,46
Androscoggin,SABATTUS,President,,Gary Johnson,LBT,28
Androscoggin,TURNER,President,,Gary Johnson,LBT,50
Androscoggin,WALES,President,,Gary Johnson,LBT,11
Aroostook,ALLAGASH,President,,Gary Johnson,LBT,2
Aroostook,AMITY,President,,Gary Johnson,LBT,2
Aroostook,ASHLAND,President,,Gary Johnson,LBT,1
Aroostook,BANCROFT,President,,Gary Johnson,LBT,0
Aroostook,BLAINE,President,,Gary Johnson,LBT,5
Aroostook,BRIDGEWATER,President,,Gary Johnson,LBT,2
Aroostook,CARIBOU,President,,Gary Johnson,LBT,45
Aroostook,CARY PLT,President,,Gary Johnson,LBT,1
Aroostook,CASTLE HILL,President,,Gary Johnson,LBT,0
Aroostook,CASWELL,President,,Gary Johnson,LBT,1
Aroostook,CHAPMAN,President,,Gary Johnson,LBT,27
Aroostook,CONNOR TWP,President,,Gary Johnson,LBT,3
Aroostook,CRYSTAL,President,,Gary Johnson,LBT,2
Aroostook,CYR PLT,President,,Gary Johnson,LBT,0
Aroostook,DYER BROOK,President,,Gary Johnson,LBT,1
Aroostook,E TWP,President,,Gary Johnson,LBT,0
Aroostook,EAGLE LAKE,President,,Gary Johnson,LBT,4
Aroostook,EASTON,President,,Gary Johnson,LBT,12
Aroostook,FORT FAIRFIELD,President,,Gary Johnson,LBT,27
Aroostook,FORT KENT,President,,Gary Johnson,LBT,24
Aroostook,FORT KENT TWPS ,President,,Gary Johnson,LBT,0
Aroostook,FRENCHVILLE,President,,Gary Johnson,LBT,8
Aroostook,GARFIELD PLT,President,,Gary Johnson,LBT,0
Aroostook,GLENWOOD PLT,President,,Gary Johnson,LBT,0
Aroostook,GRAND ISLE,President,,Gary Johnson,LBT,1
Aroostook,HAMLIN,President,,Gary Johnson,LBT,2
Aroostook,HAMMOND,President,,Gary Johnson,LBT,0
Aroostook,HAYNESVILLE,President,,Gary Johnson,LBT,0
Aroostook,HERSEY,President,,Gary Johnson,LBT,0
Aroostook,HODGDON,President,,Gary Johnson,LBT,6
Aroostook,HOULTON,President,,Gary Johnson,LBT,30
Aroostook,ISLAND FALLS,President,,Gary Johnson,LBT,4
Aroostook,LIMESTONE,President,,Gary Johnson,LBT,12
Aroostook,LINNEUS,President,,Gary Johnson,LBT,4
Aroostook,LITTLETON,President,,Gary Johnson,LBT,11
Aroostook,LUDLOW,President,,Gary Johnson,LBT,3
Aroostook,MACWAHOC PLT,President,,Gary Johnson,LBT,0
Aroostook,MADAWASKA,President,,Gary Johnson,LBT,21
Aroostook,MADAWASKA LAKE TWP,President,,Gary Johnson,LBT,2
Aroostook,MAPLETON,President,,Gary Johnson,LBT,6
Aroostook,MARS HILL,President,,Gary Johnson,LBT,11
Aroostook,MASARDIS,President,,Gary Johnson,LBT,3
Aroostook,MERRILL,President,,Gary Johnson,LBT,1
Aroostook,MONTICELLO,President,,Gary Johnson,LBT,5
Aroostook,MORO PLT,President,,Gary Johnson,LBT,1
Aroostook,MORO PLT TWPS ,President,,Gary Johnson,LBT,0
Aroostook,NASHVILLE PLT,President,,Gary Johnson,LBT,0
Aroostook,NEW CANADA,President,,Gary Johnson,LBT,5
Aroostook,NEW LIMERICK,President,,Gary Johnson,LBT,2
Aroostook,NEW SWEDEN,President,,Gary Johnson,LBT,4
Aroostook,OAKFIELD,President,,Gary Johnson,LBT,8
Aroostook,ORIENT,President,,Gary Johnson,LBT,0
Aroostook,OXBOW PLT,President,,Gary Johnson,LBT,0
Aroostook,PERHAM,President,,Gary Johnson,LBT,0
Aroostook,PORTAGE LAKE,President,,Gary Johnson,LBT,3
Aroostook,PRESQUE ISLE,President,,Gary Johnson,LBT,65
Aroostook,REED PLT,President,,Gary Johnson,LBT,0
Aroostook,SAINT AGATHA,President,,Gary Johnson,LBT,4
Aroostook,SAINT FRANCIS,President,,Gary Johnson,LBT,1
Aroostook,SAINT JOHN PLT,President,,Gary Johnson,LBT,3
Aroostook,SHERMAN,President,,Gary Johnson,LBT,7
Aroostook,SMYRNA,President,,Gary Johnson,LBT,0
Aroostook,STOCKHOLM,President,,Gary Johnson,LBT,2
Aroostook,T11 R4 WELS ,President,,Gary Johnson,LBT,10
Aroostook,T12 R13 ,President,,Gary Johnson,LBT,0
Aroostook,T15 R6 WELS ,President,,Gary Johnson,LBT,0
Aroostook,T15 R9 TWP ,President,,Gary Johnson,LBT,0
Aroostook,TD R2 WELS ,President,,Gary Johnson,LBT,0
Aroostook,VAN BUREN,President,,Gary Johnson,LBT,9
Aroostook,VAN BUREN TWPS ,President,,Gary Johnson,LBT,0
Aroostook,WADE,President,,Gary Johnson,LBT,2
Aroostook,WALLAGRASS,President,,Gary Johnson,LBT,2
Aroostook,WASHBURN,President,,Gary Johnson,LBT,6
Aroostook,WESTFIELD,President,,Gary Johnson,LBT,1
Aroostook,WESTMANLAND,President,,Gary Johnson,LBT,0
Aroostook,WESTON,President,,Gary Johnson,LBT,0
Aroostook,WINTERVILLE PLT,President,,Gary Johnson,LBT,1
Aroostook,WOODLAND,President,,Gary Johnson,LBT,5
Cumberland,BALDWIN,President,,Gary Johnson,LBT,25
Cumberland,BRIDGTON,President,,Gary Johnson,LBT,32
Cumberland,BRUNSWICK,President,,Gary Johnson,LBT,141
Cumberland,CAPE ELIZABETH,President,,Gary Johnson,LBT,39
Cumberland,CASCO,President,,Gary Johnson,LBT,25
Cumberland,CHEBEAGUE ISLAND,President,,Gary Johnson,LBT,7
Cumberland,CUMBERLAND,President,,Gary Johnson,LBT,47
Cumberland,FALMOUTH,President,,Gary Johnson,LBT,49
Cumberland,FREEPORT,President,,Gary Johnson,LBT,48
Cumberland,FRYE ISLAND,President,,Gary Johnson,LBT,0
Cumberland,GORHAM,President,,Gary Johnson,LBT,100
Cumberland,GRAY,President,,Gary Johnson,LBT,60
Cumberland,HARPSWELL,President,,Gary Johnson,LBT,37
Cumberland,HARRISON,President,,Gary Johnson,LBT,35
Cumberland,LONG ISLAND,President,,Gary Johnson,LBT,2
Cumberland,NAPLES,President,,Gary Johnson,LBT,30
Cumberland,NEW GLOUCESTER,President,,Gary Johnson,LBT,41
Cumberland,NORTH YARMOUTH,President,,Gary Johnson,LBT,21
Cumberland,PORTLAND,President,,Gary Johnson,LBT,473
Cumberland,POWNAL,President,,Gary Johnson,LBT,11
Cumberland,RAYMOND,President,,Gary Johnson,LBT,28
