county,town,office,district,party,candidate,votes
Androscoggin,Auburn,U.S. Senate,,REP,Eric L. Brakey,3813
Androscoggin,Durham,U.S. Senate,,REP,Eric L. Brakey,923
Androscoggin,Greene,U.S. Senate,,REP,Eric L. Brakey,1047
Androscoggin,Leeds,U.S. Senate,,REP,Eric L. Brakey,487
Androscoggin,Lewiston,U.S. Senate,,REP,Eric L. Brakey,4639
Androscoggin,Lisbon,U.S. Senate,,REP,Eric L. Brakey,1745
Androscoggin,Livermore,U.S. Senate,,REP,Eric L. Brakey,486
Androscoggin,Livermore Falls,U.S. Senate,,REP,Eric L. Brakey,409
Androscoggin,Mechanic Falls,U.S. Senate,,REP,Eric L. Brakey,638
Androscoggin,Minot,U.S. Senate,,REP,Eric L. Brakey,705
Androscoggin,Poland,U.S. Senate,,REP,Eric L. Brakey,1267
Androscoggin,Sabattus,U.S. Senate,,REP,Eric L. Brakey,1050
Androscoggin,Turner,U.S. Senate,,REP,Eric L. Brakey,1315
Androscoggin,Wales,U.S. Senate,,REP,Eric L. Brakey,407
Aroostook,Allagash,U.S. Senate,,REP,Eric L. Brakey,47
Aroostook,Amity,U.S. Senate,,REP,Eric L. Brakey,53
Aroostook,Ashland,U.S. Senate,,REP,Eric L. Brakey,184
Aroostook,Blaine,U.S. Senate,,REP,Eric L. Brakey,178
Aroostook,Bridgewater,U.S. Senate,,REP,Eric L. Brakey,104
Aroostook,Caribou (and Connor Twp),U.S. Senate,,REP,Eric L. Brakey,1135
Aroostook,Cary Plt,U.S. Senate,,REP,Eric L. Brakey,50
Aroostook,Castle Hill,U.S. Senate,,REP,Eric L. Brakey,79
Aroostook,Caswell,U.S. Senate,,REP,Eric L. Brakey,25
Aroostook,Chapman,U.S. Senate,,REP,Eric L. Brakey,76
Aroostook,Cross Lake Twp (New Canada),U.S. Senate,,REP,Eric L. Brakey,34
Aroostook,Crystal,U.S. Senate,,REP,Eric L. Brakey,64
Aroostook,Cyr Plt,U.S. Senate,,REP,Eric L. Brakey,22
Aroostook,Dyer Brook,U.S. Senate,,REP,Eric L. Brakey,54
Aroostook,E Twp (Blaine),U.S. Senate,,REP,Eric L. Brakey,13
Aroostook,Eagle Lake,U.S. Senate,,REP,Eric L. Brakey,124
Aroostook,Easton,U.S. Senate,,REP,Eric L. Brakey,243
Aroostook,Fort Fairfield,U.S. Senate,,REP,Eric L. Brakey,497
Aroostook,Fort Kent,U.S. Senate,,REP,Eric L. Brakey,458
Aroostook,Frenchville,U.S. Senate,,REP,Eric L. Brakey,155
Aroostook,Garfield Plt,U.S. Senate,,REP,Eric L. Brakey,13
Aroostook,Glenwood Plt,U.S. Senate,,REP,Eric L. Brakey,0
Aroostook,Grand Isle,U.S. Senate,,REP,Eric L. Brakey,52
Aroostook,Hamlin,U.S. Senate,,REP,Eric L. Brakey,39
Aroostook,Hammond,U.S. Senate,,REP,Eric L. Brakey,16
Aroostook,Haynesville,U.S. Senate,,REP,Eric L. Brakey,29
Aroostook,Hersey,U.S. Senate,,REP,Eric L. Brakey,17
Aroostook,Hodgdon,U.S. Senate,,REP,Eric L. Brakey,302
Aroostook,Houlton,U.S. Senate,,REP,Eric L. Brakey,863
Aroostook,Island Falls,U.S. Senate,,REP,Eric L. Brakey,149
Aroostook,Limestone,U.S. Senate,,REP,Eric L. Brakey,233
Aroostook,Linneus,U.S. Senate,,REP,Eric L. Brakey,204
Aroostook,Littleton,U.S. Senate,,REP,Eric L. Brakey,194
Aroostook,Ludlow,U.S. Senate,,REP,Eric L. Brakey,78
Aroostook,Macwahoc Plt,U.S. Senate,,REP,Eric L. Brakey,19
Aroostook,Madawaska,U.S. Senate,,REP,Eric L. Brakey,460
Aroostook,Madawaska Lake,U.S. Senate,,REP,Eric L. Brakey,26
Aroostook,Mapleton,U.S. Senate,,REP,Eric L. Brakey,401
Aroostook,Mars Hill,U.S. Senate,,REP,Eric L. Brakey,284
Aroostook,Masardis,U.S. Senate,,REP,Eric L. Brakey,34
Aroostook,Merrill,U.S. Senate,,REP,Eric L. Brakey,44
