county,town,office,district,party,candidate,votes
Cumberland,BALDWIN,U.S. House,CG 1,REP,"Holbrook, Mark I.",10.0
Cumberland,BALDWIN,U.S. House,CG 1,REP,"Smith, Ande Allen",13.0
Cumberland,BALDWIN,U.S. House,CG 1,REP,BLANK,0.0
Cumberland,BALDWIN,U.S. House,CG 1,REP,Total Ballots Cast,23.0
Cumberland,BRIDGTON,U.S. House,CG 1,REP,"Holbrook, Mark I.",190.0
Cumberland,BRIDGTON,U.S. House,CG 1,REP,"Smith, Ande Allen",210.0
Cumberland,BRIDGTON,U.S. House,CG 1,REP,BLANK,64.0
Cumberland,BRIDGTON,U.S. House,CG 1,REP,Total Ballots Cast,464.0
Cumberland,BRUNSWICK,U.S. House,CG 1,REP,"Holbrook, Mark I.",229.0
Cumberland,BRUNSWICK,U.S. House,CG 1,REP,"Smith, Ande Allen",166.0
Cumberland,BRUNSWICK,U.S. House,CG 1,REP,BLANK,18.0
Cumberland,BRUNSWICK,U.S. House,CG 1,REP,Total Ballots Cast,413.0
Cumberland,CAPE ELIZABETH,U.S. House,CG 1,REP,"Holbrook, Mark I.",115.0
Cumberland,CAPE ELIZABETH,U.S. House,CG 1,REP,"Smith, Ande Allen",299.0
Cumberland,CAPE ELIZABETH,U.S. House,CG 1,REP,BLANK,39.0
Cumberland,CAPE ELIZABETH,U.S. House,CG 1,REP,Total Ballots Cast,453.0
Cumberland,CASCO,U.S. House,CG 1,REP,"Holbrook, Mark I.",33.0
Cumberland,CASCO,U.S. House,CG 1,REP,"Smith, Ande Allen",30.0
Cumberland,CASCO,U.S. House,CG 1,REP,BLANK,7.0
Cumberland,CASCO,U.S. House,CG 1,REP,Total Ballots Cast,70.0
Cumberland,CHEBEAGUE ISLAND,U.S. House,CG 1,REP,"Holbrook, Mark I.",8.0
Cumberland,CHEBEAGUE ISLAND,U.S. House,CG 1,REP,"Smith, Ande Allen",17.0
Cumberland,CHEBEAGUE ISLAND,U.S. House,CG 1,REP,BLANK,5.0
Cumberland,CHEBEAGUE ISLAND,U.S. House,CG 1,REP,Total Ballots Cast,30.0
Cumberland,CUMBERLAND,U.S. House,CG 1,REP,"Holbrook, Mark I.",63.0
Cumberland,CUMBERLAND,U.S. House,CG 1,REP,"Smith, Ande Allen",330.0
Cumberland,CUMBERLAND,U.S. House,CG 1,REP,BLANK,17.0
Cumberland,CUMBERLAND,U.S. House,CG 1,REP,Total Ballots Cast,410.0
Cumberland,FALMOUTH,U.S. House,CG 1,REP,"Holbrook, Mark I.",162.0
Cumberland,FALMOUTH,U.S. House,CG 1,REP,"Smith, Ande Allen",417.0
Cumberland,FALMOUTH,U.S. House,CG 1,REP,BLANK,64.0
Cumberland,FALMOUTH,U.S. House,CG 1,REP,Total Ballots Cast,643.0
Cumberland,FREEPORT,U.S. House,CG 1,REP,"Holbrook, Mark I.",97.0
Cumberland,FREEPORT,U.S. House,CG 1,REP,"Smith, Ande Allen",263.0
Cumberland,FREEPORT,U.S. House,CG 1,REP,BLANK,31.0
Cumberland,FREEPORT,U.S. House,CG 1,REP,Total Ballots Cast,391.0
Cumberland,FRYE ISLAND,U.S. House,CG 1,REP,"Holbrook, Mark I.",0.0
Cumberland,FRYE ISLAND,U.S. House,CG 1,REP,"Smith, Ande Allen",2.0
Cumberland,FRYE ISLAND,U.S. House,CG 1,REP,BLANK,1.0
Cumberland,FRYE ISLAND,U.S. House,CG 1,REP,Total Ballots Cast,3.0
Cumberland,GORHAM,U.S. House,CG 1,REP,"Holbrook, Mark I.",152.0
Cumberland,GORHAM,U.S. House,CG 1,REP,"Smith, Ande Allen",321.0
Cumberland,GORHAM,U.S. House,CG 1,REP,BLANK,25.0
Cumberland,GORHAM,U.S. House,CG 1,REP,Total Ballots Cast,498.0
Cumberland,GRAY,U.S. House,CG 1,REP,"Holbrook, Mark I.",130.0
Cumberland,GRAY,U.S. House,CG 1,REP,"Smith, Ande Allen",231.0
Cumberland,GRAY,U.S. House,CG 1,REP,BLANK,35.0
